Company,Current_Ticker,Ticker_At_Start,Activist_Group,Objectives,Hp_Return,Market_Cap_At_Start,Stake_At_Start,Start_Date_And_Time,Year,Month,Date,Activist_Tier,Stake_Value_At_Start,One_Day_Return,One_Year_Return,Follower_Return,Annualized_Hp_Return,Hp_Alpha,One_Year_Alpha,Follower_Alpha,Activist_Tactics
Micrel Inc,MCRL US Equity,MCRL US,Starboard Value LP,Stake Only 13D: No Public Activism,30.95588,6.08E+08,12,Start: 2014-08-07. UTC: 2014-08-07T21:28:14.000Z,2014,8,7,Core Activist,72928140,8.372093,30.95588,20.83911,30.95588,18.91278,19.92634,10.07602,
LNB Bancorp Inc,LNBB US Equity,LNBB US,PL Capital Advisors LLC,2: Sale of Company; Strategic Review,55.45655,1.21E+08,5.2,Start: 2014-08-11. UTC: 2014-08-11T20:29:57.000Z,2014,8,11,Secondary Focus,6302338,1.116427,49.03936,53.74015,55.08323,45.21645,39.1056,43.32511,
Gannett Co Inc,TGNA US Equity,GCI US,Icahn Enterprises LP,2: Board Representation; Other (Require Shareholder Approval for Poison Pills),-6.094,7.68E+09,6.63,Start: 2014-08-14. UTC: 2014-08-14T21:14:23.000Z,2014,8,14,Core Activist,5.09E+08,1.497797,-4.38209,-7.47976,-3.93276,-11.2777,-13.5539,-12.6574,Letter to Company; Formal Notice for Proxy Fight
Fuel Systems Solutions Inc,FSYS US Equity,FSYS US,Northern Right Capital Management LP,Discussions only,-48.9603,2.13E+08,6.448,Start: 2014-08-15. UTC: 2014-08-15T21:14:14.000Z,2014,8,15,Former Core,13709460,-2.74102,-37.8072,-47.5219,-31.3354,-60.5029,-47.2948,-58.1138,
Rackspace Hosting Inc,RAX US Equity,RAX US,Blue Harbour Group LP,Discussions only,0.031427,4.55E+09,6.4,Start: 2014-08-18. UTC: 2014-08-18T20:36:25.000Z,2014,8,18,Former Core,2.91E+08,2.671276,-0.31427,-2.57117,0.014464,-13.6588,-7.97956,-15.6734,
Hertz Global Holdings Inc,HTZGQ US Equity,HTZ US,Icahn Enterprises LP,Discussions only,-98.798,1.41E+10,8.48,Start: 2014-08-20. UTC: 2014-08-20T19:39:38.000Z,2014,8,20,Core Activist,1.20E+09,-3.89734,-42.3954,-98.7492,-53.5077,-171.1,,-170.614,
Town Sports International Holdings Inc,CLUBQ US Equity,CLUB US,HG Vora Capital Management LLC and PW Partners Capital Management LLC,5: Return Capital/Buybacks; Cost Cutting; Sale of Company; Strategic Review; Board Control,-58.4112,1.04E+08,16,Start: 2014-08-21. UTC: 2014-08-21T12:02:19.000Z,2014,8,21,Secondary Focus,16642976,1.401869,-36.9159,-58.9862,-15.0663,-140.083,-38.1839,-140.119,Letter to Company; Formal Notice for Proxy Fight
Sierra Bancorp,BSRR US Equity,BSRR US,Basswood Capital Management LLC,Discussions only,11.8465,2.28E+08,9.03,Start: 2014-08-21. UTC: 2014-08-21T20:52:36.000Z,2014,8,21,Secondary Focus,20625775,0.061162,6.443881,11.77813,7.712868,12.32553,5.476276,12.0716,
Rosetta Stone Inc,RST US Equity,RST US,Osmium Partners LLC,4: Return Capital/Buybacks; Strategic Review; Sale of Company; Break Up,244.7126,1.85E+08,9.995,Start: 2014-08-21. UTC: 2014-08-21T21:05:15.000Z,2014,8,21,Secondary Focus,18517886,0.91954,-21.954,241.5717,22.28739,146.5089,-22.9216,142.9984,
Investors Bancorp Inc,ISBC US Equity,ISBC US,Blue Harbour Group LP,1: Return Capital/Buybacks,29.08727,3.80E+09,5.7,Start: 2014-08-21. UTC: 2014-08-21T21:09:40.000Z,2014,8,21,Former Core,2.17E+08,0,13.77659,29.08727,4.910549,-49.482,12.80899,-49.815,
Prudential Bancorp Inc,PBIP US Equity,PBIP US,Seidman & Associates LLC,1: Board Representation,74.44987,1.12E+08,5.87,Start: 2014-08-22. UTC: 2014-08-22T13:38:35.000Z,2014,8,22,Core Activist,6588899,2.040816,25.11193,70.96087,7.662541,-76.4389,24.14433,-80.3956,
ANN Inc,ANN US Equity,ANN US,Engine Capital Management LLC and Lucus Advisors LLC,3: Strategic Review; Sale of Company; Return Capital/Buybacks,19.64286,1.72E+09,1,Start: 2014-08-25. UTC: 2014-08-25T10:00:05.023Z,2014,8,25,Core Activist,17163609,6.449893,19.64286,12.39359,19.64286,22.47138,23.78414,15.68663,Letter to Company
USA Truck Inc,USAK US Equity,USAK US,ADW Capital Management LLC,3: Break Up; Sale of Company; Strategic Review,-1.76796,1.91E+08,3,Start: 2014-08-25. UTC: 2014-08-25T18:00:01.000Z,2014,8,25,Secondary Focus,5718891,3.425414,-1.76796,-5.02137,-1.76796,2.373319,2.373319,-0.42185,Letter to Company
Ballantyne Strong Inc,BTN US Equity,BTN US,Fundamental Global Investors LLC,1: Board Control,-43.6927,64978400,7.7,Start: 2014-09-02. UTC: 2014-09-03T10:01:43.000Z,2014,9,2,Occasional Activist,5003337,-5.49978,5.630729,-40.4157,-6.67626,-168.165,6.329852,-165,Formal Notice for Proxy Fight; Call for Meeting
Noble Corp plc,NEBLQ US Equity,NE US,Fir Tree Capital Management LP,Discussions only,-36.7986,7.18E+09,9.6,Start: 2014-09-03. UTC: 2014-09-03T10:00:57.000Z,2014,9,3,Secondary Focus,6.89E+08,1.383327,-49.4262,-37.6609,-36.7986,-41.4281,-48.8982,-42.3528,
VeriFone Systems Inc,1885525D US Equity,1885525D US,Meruelo Investment Partners LLC,Discussions only,3.392288,3.90E+09,5.45,Start: 2014-09-08. UTC: 2014-09-08T17:27:50.000Z,2014,9,8,Occasional Activist,2.13E+08,-0.20296,-11.3946,3.602557,3.392288,-0.0746,-11.5228,-0.16526,Letter to Company
Fidelity National Financial Inc,FNF US Equity,FNF US,Corvex Management LP,Stake Only 13D: No Public Activism,38.66372,7.69E+09,7.3,Start: 2014-09-09. UTC: 2014-09-09T12:02:53.000Z,2014,9,9,Core Activist,5.61E+08,0.180115,33.42852,38.41442,18.75816,26.17768,34.39586,25.18888,
Entropic Communications Inc,1553838D US Equity,1553838D US,Viex Capital Advisors LLC,Stake Only 13D: No Public Activism,17.50973,2.28E+08,7.9,Start: 2014-09-11. UTC: 2014-09-11T13:01:22.000Z,2014,9,11,Former Core,18024917,3.891051,17.50973,13.10861,17.50973,11.72803,11.72803,7.449676,
Conversant Inc,CNVR US Equity,CNVR US,Blue Harbour Group LP,Stake Only: No Public Activism,28.94047,1.71E+09,4.75,Start: 2014-09-11. UTC: 2014-09-11T22:48:30.423Z,2014,9,11,Former Core,81296929,30.28828,28.94047,-1.03448,28.94047,25.33473,25.33473,-5.25949,
Blackhawk Network Holdings Inc,HAWK US Equity,HAWK US,P2 Capital Partners LLC,Discussions only,22.97585,1.49E+09,5.4,Start: 2014-09-12. UTC: 2014-09-12T20:01:43.000Z,2014,9,12,Secondary Focus,19248262,0.106534,48.61506,22.84498,22.97585,14.63663,46.92597,14.42943,
Seneca-Cayuga Bancorp Inc,SCAY US Equity,SCAY US,Stilwell Value LLC,Discussions only,25.78947,22606200,5.21,Start: 2014-09-15. UTC: 2014-09-15T20:58:48.000Z,2014,9,15,Core Activist,1177783,2.631579,13.68421,22.5641,21.0701,17.7932,11.03375,15.37144,
Axcelis Technologies Inc,ACLS US Equity,ACLS US,Viex Capital Advisors LLC,2: Board Control; Cost Cutting,60.20408,2.19E+08,6.5,Start: 2014-09-16. UTC: 2014-09-16T16:01:53.000Z,2014,9,16,Former Core,14216137,-0.5102,71.93877,61.02564,60.20408,51.5847,69.28831,53.21451,Formal Notice for Proxy Fight
Epiq Systems Inc,EPIQ US Equity,EPIQ US,P2 Capital Partners LLC,1: Acquire Company,0.055417,6.22E+08,16.9,Start: 2014-09-22. UTC: 2014-09-22T12:31:08.000Z,2014,9,22,Secondary Focus,1.05E+08,6.766917,-27.336,-6.28612,0.027367,-12.5141,-25.9778,-19.7649,
Pinnacle Bancshares Inc/AL,PCLB US Equity,PCLB US,Stilwell Value LLC,2: Board Representation; Return Capital/Buybacks,53.32476,18438400,9.6,Start: 2014-09-23. UTC: 2014-09-23T20:30:33.000Z,2014,9,23,Core Activist,1770086,3.686275,30.25827,47.87373,21.20959,33.1946,30.78765,28.67904,
Allergan Inc/United States,1284849D US Equity,1284849D US,Pentwater Capital Management LP,2: Sale of Company; Strategic Review,37.4245,5.20E+10,1.31,Start: 2014-09-25. UTC: 2014-09-26T02:03:39.792Z,2014,9,25,Secondary Focus,6.81E+08,1.784081,37.4245,35.01571,37.4245,30.50556,30.50556,29.02595,Letter to Company
Yahoo! Inc,AABA US Equity,YHOO US,Starboard Value LP,11: Cost Cutting; Sale of Company; Break Up; Return Capital/Buybacks; Break Up; Strategic Review; Board Control; Management Changes; Oppose Other Transaction (Against spin off of Aabaco); Other (halt the current aggressive acquisition spree); Real Estate Separation,-5.13479,3.87E+10,1.7,Start: 2014-09-26. UTC: 2014-09-26T16:08:03.188Z,2014,9,26,Core Activist,6.59E+08,4.390244,-25.2118,-9.12445,-3.26842,-15.2908,-25.4835,-18.3231,Letter to Company; Formal Notice for Proxy Fight
Agilysys Inc,AGYS US Equity,AGYS US,Discovery Group I LLC,Stake Only 13D: No Public Activism,6.644239,2.71E+08,5.2,Start: 2014-09-26. UTC: 2014-09-26T20:29:54.000Z,2014,9,26,Former Core,14112062,0,-6.30782,6.644239,2.151541,-30.3652,-3.31082,-30.7036,
ClubCorp Holdings Inc,MYCC US Equity,MYCC US,Red Alder LLC and ADW Capital Management LLC,3: Other (Conversion to REIT); Break Up; Strategic Review,15.8878,1.21E+09,,Start: 2014-09-29. UTC: 2014-09-29T10:00:03.574Z,2014,9,29,Occasional Activist,,5.923159,15.8878,9.407429,15.8878,18.8848,18.8848,12.16486,Letter to Company
Seachange International Inc,SEAC US Equity,SEAC US,Roumell Asset Management LLC,1: Return Capital/Buybacks,-10.6105,2.24E+08,6.2,Start: 2014-09-30. UTC: 2014-09-30T10:03:26.000Z,2014,9,30,Core Activist,13900456,1.162791,-8.43023,-11.6379,-10.6105,-17.8435,,,Letter to Company
Eastern Co/The,EML US Equity,EML US,Barington Capital Group LP and Hilco Inc,2: Board Representation; Strategic Review,38.10558,98573800,5.23,Start: 2014-09-30. UTC: 2014-09-30T12:02:24.000Z,2014,9,30,Core Activist,5155410,0.757576,3.590329,37.06719,3.679688,-131.615,4.486706,-133.392,Letter to Company; Formal Notice for Proxy Fight
Conn's Inc,CONN US Equity,CONN US,Luxor Capital Group LP,Stake Only 13D: No Public Activism,-64.4951,1.11E+09,20.9,Start: 2014-09-30. UTC: 2014-09-30T16:57:35.000Z,2014,9,30,Secondary Focus,2.33E+08,-1.40065,-21.6938,-63.9908,-35.3017,-88.7995,-20.7974,-88.6355,
JDS Uniphase Corporation,VIAV US Equity,JDSU US,Sandell Asset Management Corp,7: Strategic Review; Remove Director/Withhold Votes; Other (Amendment of the Company’s Bylaws); Board Representation; Break Up; Sale of Company; Management Changes,-18.5134,2.94E+09,5.1,Start: 2014-10-01. UTC: 2014-10-01T14:00:00.351Z,2014,10,1,Former Core,1.50E+08,2.734375,-24.4223,-20.6823,-15.5547,-24.7119,-24.0003,-28.2971,Letter to Company
Volcano Corp,VOLC US Equity,VOLC US,Camber Capital Management LP,Stake Only 13D: No Public Activism,73.76093,5.30E+08,9.81,Start: 2014-10-02. UTC: 2014-10-02T13:07:44.000Z,2014,10,2,Secondary Focus,51946707,10.00972,74.82993,57.95053,73.76093,66.88245,66.06474,51.0819,
Aviat Networks Inc,AVNW US Equity,AVNW US,Lone Star Value Management LLC,2: Board Control; Strategic Review,-63.4832,1.11E+08,2.41,Start: 2014-10-06. UTC: 2014-10-06T14:43:00.123Z,2014,10,6,Former Core,2666101,-1.1236,-36.5169,-63.0682,-46.6633,-71.0802,-39.2233,-70.8311,Formal Notice for Proxy Fight
Innophos Holdings Inc,IPHS US Equity,IPHS US,FrontFour Capital Group LLC,4: Return Capital/Buybacks; Strategic Review; Sale of Company; Break Up,-47.0554,1.21E+09,3.3,Start: 2014-10-07. UTC: 2014-10-07T12:14:59.314Z,2014,10,7,Former Core,39969983,-1.46078,-21.2921,-46.2705,-37.3137,-46.3573,-25.0236,-47.0969,Letter to Company
Civeo Corp,CVEO US Equity,CVEO US,Greenlight Capital Inc,3: Management Changes; Return Capital/Buybacks; Other (Other Capital Structure),-64.0795,1.31E+09,9.99,Start: 2014-10-09. UTC: 2014-10-09T20:55:27.000Z,2014,10,9,Secondary Focus,1.31E+08,1.631321,-82.1636,-64.656,-64.0795,-75.5045,-88.835,-77.3602,
Allscripts Healthcare Solutions Inc,MDRX US Equity,MDRX US,Blue Harbour Group LP,Discussions only,5.096263,2.39E+09,7,Start: 2014-10-10. UTC: 2014-10-10T21:01:47.000Z,2014,10,10,Former Core,1.67E+08,-0.41525,-2.90676,5.534496,2.765811,-13.7861,-10.2134,-15.3384,
Crown Castle International Corp,CCI US Equity,CCI US,Corvex Management LP,1: Return Capital/Buybacks,12.85378,2.62E+10,3.77,Start: 2014-10-14. UTC: 2014-10-14T12:00:04.631Z,2014,10,14,Core Activist,9.88E+08,2.969288,6.810067,9.599452,12.85378,0.01575,-1.78492,-3.06016,Letter to Company
Nutrisystem Inc,NTRI US Equity,NTRI US,Clinton Group Inc/New York,3: Sale of Company; Strategic Review; Return Capital/Buybacks,16.29623,4.36E+08,1.48,Start: 2014-10-14. UTC: 2014-10-14T17:20:28.682Z,2014,10,14,Former Core,6457913,0.527705,74.53442,15.68575,16.29623,3.65559,65.93944,3.22322,Letter to Company
American Science and Engineering Inc,ASEI US Equity,ASEI US,Willner Capital Inc,5: Strategic Review; Sale of Company; Break Up; Return Capital/Buybacks; Compensation Changes,-17.1316,3.78E+08,2.94,Start: 2014-10-15. UTC: 2014-10-15T19:05:25.256Z,2014,10,15,Occasional Activist,11118407,6.610878,-17.1316,-22.2702,-17.1316,-27.1711,-27.1711,-33.1978,Letter to Company
Swift Energy Co/Texas,SFYWQ US Equity,SFYWQ US,Baker Street Capital Management LLC,3: Strategic Review; Board Representation; Other (Ceasing all acreage acquisitions),-26.4852,3.54E+08,9.99,Start: 2014-10-16. UTC: 2014-10-16T21:09:27.000Z,2014,10,16,Secondary Focus,35392362,-8.66337,-91.8007,-19.5122,-26.4852,,-103.216,-27.707,Letter to Company
Remy International Inc,REMY US Equity,REMY US,H Partners Management LLC,Stake Only 13D: 1 Board Seat Granted,58.99984,6.04E+08,8.75,Start: 2014-10-17. UTC: 2014-10-17T13:26:53.000Z,2014,10,17,Secondary Focus,52870291,-2.03866,58.89197,62.30875,54.51519,44.74167,47.47697,49.50396,
Riverview Bancorp Inc,RVSB US Equity,RVSB US,Ancora Advisors LLC,3: Sale of Company; Strategic Review; Board Representation,76.49988,88539200,6.75,Start: 2014-10-17. UTC: 2014-10-17T14:24:37.000Z,2014,10,17,Core Activist,5976396,0.761421,23.61642,75.16612,24.39468,40.12243,12.20142,40.52342,
Family Dollar Stores Inc,FDO US Equity,FDO US,Elliott Investment Management LP,4: Board Control; Oppose Merger (Target); Sale of Company; Strategic Review,3.412791,8.75E+09,4.9,Start: 2014-10-17. UTC: 2014-10-17T20:05:00.118Z,2014,10,17,Core Activist,4.29E+08,-0.01303,3.412791,3.426264,3.412791,-7.85689,-7.85689,-6.83324,Letter to Company; Formal Notice for Proxy Fight
Chiquita Brands International Inc,CQB US Equity,CQB US,Wynnefield Capital Inc,2: Oppose Merger (Target); Sale of Company,8.458084,6.27E+08,3.5,Start: 2014-10-20. UTC: 2014-10-20T12:49:00.133Z,2014,10,20,Former Core,21961020,-4.19162,8.458084,13.20313,8.458084,1.844447,1.844447,7.557404,
Hertz Global Holdings Inc,HTZGQ US Equity,HTZ US,JANA Partners LLC,2: Board Representation; Return Capital/Buybacks,-26.7096,9.03E+09,7,Start: 2014-10-20. UTC: 2014-10-20T12:55:43.000Z,2014,10,20,Core Activist,6.32E+08,5.996036,-3.36967,-30.8555,-24.2182,-37.9595,-13.2454,-41.0954,Letter to Company
Pennsylvania Real Estate Investment Trust,PRET US Equity,PEI US,Land & Buildings Investment Management LLC,4: Break Up; Realize NAV; Sale of Company; Strategic Review,12.66237,1.34E+09,0.83,Start: 2014-10-20. UTC: 2014-10-20T13:00:00.407Z,2014,10,20,Core Activist,11085676,3.964985,16.66788,8.365686,12.66237,-0.08325,6.792105,-3.35634,Letter to Company
Autobytel Inc,AUTO US Equity,AUTO US,Ancora Advisors LLC,5: Sale of Company; Strategic Review; Remove Poison Pill; Board Representation; Return Capital/Buybacks,53.08924,78911100,4.74,Start: 2014-10-21. UTC: 2014-10-21T14:15:43.000Z,2014,10,21,Core Activist,3740386,4.347826,147.4828,46.71053,53.08924,40.27647,,36.06566,Letter to Company
NCR Corp,NCR US Equity,NCR US,Marcato Capital Management LP,1: Board Representation,-10.4078,3.96E+09,6.5,Start: 2014-10-21. UTC: 2014-10-21T17:16:53.000Z,2014,10,21,Former Core,2.57E+08,3.738318,8.453696,-13.6364,-7.9697,-12.8146,0.195818,-14.0752,
Amgen Inc,AMGN US Equity,AMGN US,Third Point LLC,3: Break Up; Cost Cutting; Return Capital/Buybacks,15.00926,1.04E+11,1.4,Start: 2014-10-21. UTC: 2014-10-21T18:00:07.518Z,2014,10,21,Core Activist,1.46E+09,4.785107,11.19237,9.757261,9.368009,3.87696,2.934492,0.760563,
CDK Global Inc,CDK US Equity,CDK US,Sachem Head Capital Management LP,Discussions only,98.02771,4.77E+09,7.88,Start: 2014-10-27. UTC: 2014-10-27T20:02:50.000Z,2014,10,27,Core Activist,3.76E+08,10.84256,71.349,78.65674,48.28524,82.95447,62.55646,64.94116,
Callon Petroleum Co,CPE US Equity,CPE US,Lone Star Value Management LLC,Stake Only 13D: 1 Board Seat Granted,9.047619,3.48E+08,5.1,Start: 2014-10-30. UTC: 2014-10-30T20:24:09.000Z,2014,10,30,Former Core,17764687,4.126984,37.77778,4.72561,9.047619,5.231154,31.35464,2.113305,
Community Bancorp/VT,CMTV US Equity,CMTV US,InterTech Group Inc/The,Stake Only 13D: No Public Activism,41.65753,67863200,5.2,Start: 2014-10-30. UTC: 2014-10-30T20:43:43.000Z,2014,10,30,Secondary Focus,3528886,1.083032,5.709857,40.13977,15.37057,17.23204,-0.71329,17.15749,
Imation Corp,GLAE US Equity,IMN US,Spear Point Capital Partners LLC,7: Strategic Review; Break Up; Other (Sell the company's corporate headquarter); Return Capital/Buybacks; Sale of Company; Management Changes; Other (Board compensation cuts of 40 to 80 percent),-83.5135,1.27E+08,2,Start: 2014-11-07. UTC: 2014-11-07T13:15:17.400Z,2014,11,7,Occasional Activist,2537896,1.351351,-23.9865,-83.7333,-51.4336,-107.99,-29.494,-108.143,Activist Lawsuit
Ebix Inc,EBIX US Equity,EBIX US,Barington Capital Group LP,1: Board Representation,260.3003,5.72E+08,1.6,Start: 2014-11-11. UTC: 2014-11-11T14:13:33.066Z,2014,11,11,Core Activist,9154744,6.858974,124.0931,237.1736,107.7174,249.0507,120.1395,226.0015,
Zoetis Inc,ZTS US Equity,ZTS US,Sachem Head Capital Management LP (Group: Sachem Head Capital Management LP and Pershing Square Capital Management LP),1: Cost Cutting,7.005888,2.19E+10,9.2,Start: 2014-11-12. UTC: 2014-11-12T11:53:34.000Z,2014,11,12,Core Activist,2.02E+09,-2.47027,2.587749,9.716169,4.622005,2.514842,0.140872,5.181841,
Zoetis Inc,ZTS US Equity,ZTS US,Pershing Square Capital Management LP (Group: Sachem Head Capital Management LP and Pershing Square Capital Management LP),1: Cost Cutting,12.44123,2.19E+10,9.2,Start: 2014-11-12. UTC: 2014-11-12T11:53:34.000Z,2014,11,12,Core Activist,2.02E+09,-2.47027,2.587749,15.28917,7.343208,4.219933,0.140872,7.023046,
Radisys Corp,RSYS US Equity,RSYS US,Viex Capital Advisors LLC,Stake Only 13D: No Public Activism,3.629032,90471100,7.4,Start: 2014-11-12. UTC: 2014-11-12T14:16:11.000Z,2014,11,12,Former Core,6694861,0.806452,7.66129,2.8,3.629032,-0.35063,5.214413,-1.22273,
Bank of New York Mellon Corp/The,BK US Equity,BK US,Marcato Capital Management LP,3: Return Capital/Buybacks; Management Changes; Cost Cutting,4.164325,4.47E+10,1.6,Start: 2014-11-13. UTC: 2014-11-13T17:08:49.930Z,2014,11,13,Former Core,7.16E+08,-0.37745,9.167704,4.558987,2.350414,-7.37788,7.826143,-6.9144,Letter to Company
Forestar Group Inc,FOR US Equity,FOR US,Value FOR Shareholders Group (SpringOwl Asset Management LLC and Cove Street Capital LLC),6: Board Representation; Strategic Review; Other (halt all non-committed Oil &Gas spending.); Remove Poison Pill; Compensation Changes; Board Representation,-22.9203,7.36E+08,6.2,Start: 2014-11-14. UTC: 2014-11-14T21:21:24.000Z,2014,11,14,Secondary Focus,37257827,-2.67597,-23.7347,-20.801,-10.9543,-42.6136,-26.3883,-40.4002,
Popeyes Louisiana Kitchen Inc,PLKI US Equity,PLKI US,Red Mountain Capital Partners LLC,1: Return Capital/Buybacks,16.52427,1.20E+09,5.1,Start: 2014-11-18. UTC: 2014-11-18T21:09:57.000Z,2014,11,18,Former Core,61289383,-0.11651,5.009709,16.66019,16.52427,13.36516,1.435835,13.3522,
Polonia Bancorp Inc,PBCP US Equity,PBCP US,Seidman & Associates LLC,2: Sale of Company; Strategic Review,15.625,32022800,5.46,Start: 2014-11-19. UTC: 2014-11-19T21:05:26.000Z,2014,11,19,Core Activist,1748445,4.166667,28.125,11,7.11478,1.32789,23.99033,-3.0679,
Dillard's Inc,DDS US Equity,DDS US,Marcato Capital Management LP,1: Real Estate Separation,-31.643,4.77E+09,4.9,Start: 2014-11-20. UTC: 2014-11-20T16:47:33.644Z,2014,11,20,Former Core,2.12E+08,9.281329,-31.643,-37.4486,-31.643,-35.7777,-35.7777,-41.3744,
Sinovac Biotech Ltd,SVA US Equity,SVA US,Heng Ren Investments LP,7: Other (Hire Specialists in Health Care Investor Relations); Other (Company have to attend upcoming Health Care Investment Conferences); Other (Seek distribution partners in the U.S. for its Hepatitis and Influenza vaccines); Other (Disclose the outcome of expert panel review of EV71); Oppose Merger (Target); Remove Poison Pill; Sale of Company,34.85149,2.78E+08,,Start: 2014-11-23. First Affected: 2014-11-24,2014,11,23,Secondary Focus,,0.594059,6.732673,34.05512,11.58035,8.14769,3.357227,7.715,Letter to Company
Columbia Property Trust Inc,CXP US Equity,CXP US,Standard Investments LLC,Stake Only 13D: No Public Activism,-11.3983,3.18E+09,6.51,Start: 2014-11-24. UTC: 2014-11-24T17:41:31.000Z,2014,11,24,Secondary Focus,2.07E+08,1.45612,2.495246,-12.6699,-8.8445,-11.8713,-0.8802,-12.8545,
TeleCommunication Systems Inc,TSYS US Equity,TSYS US,Northern Right Capital Management LP,1: Board Representation,52.73973,1.74E+08,6.736,Start: 2014-11-24. UTC: 2014-11-24T21:30:46.000Z,2014,11,24,Former Core,10769564,5.479452,69.17809,44.80519,52.73973,49.18898,66.10192,41.14601,Formal Notice for Proxy Fight
O2Micro International Ltd,OIIM US Equity,OIIM US,Lone Star Value Management LLC,3: Cost Cutting; Return Capital/Buybacks; Board Representation,14.35644,56226500,5.6,Start: 2014-11-25. UTC: 2014-11-25T11:01:01.000Z,2014,11,25,Former Core,3148684,6.930693,-16.8317,6.944445,14.35644,,-19.9079,4.478682,
Destination Maternity Corp,DESTQ US Equity,DEST US,Voce Capital Management LLC,Stake Only: 1 Board Seat Granted,-62.8866,2.18E+08,2,Start: 2014-11-26. UTC: 2014-11-26T11:00:04.205Z,2014,11,26,Core Activist,4350404,-1.32325,-61.7811,-62.3889,-35.9878,-81.4389,-64.9653,-80.5824,
Integrated Silicon Solution Inc,ISSI US Equity,ISSI US,Starboard Value LP and Oliver Press Partners LLC,3: Board Control; Oppose Merger (Target); Other (Enter into Confidentiality Agreement with Cypress),59.18622,4.45E+08,7.4,Start: 2014-11-28. UTC: 2014-11-28T19:05:00.000Z,2014,11,28,Core Activist,32929438,-0.13803,59.11674,59.40624,57.99384,56.10991,56.16107,56.07188,Letter to Company; Formal Notice for Proxy Fight
Gas Natural Inc,EGAS US Equity,EGAS US,InterTech Group Inc/The,Stake Only 13D: No Public Activism,28.23765,1.20E+08,8.3,Start: 2014-12-01. UTC: 2014-12-01T21:39:17.000Z,2014,12,1,Secondary Focus,9923281,1.754386,-20.5045,26.02666,9.758103,0.92329,-23.934,-0.47343,
Oil States International Inc,OIS US Equity,OIS US,Atlantic Investment Management Inc,Stake Only 13D: No Public Activism,-7.61368,2.55E+09,5.1,Start: 2014-12-02. UTC: 2014-12-02T13:15:11.000Z,2014,12,2,Secondary Focus,1.30E+08,-0.98039,-35.5444,-6.69897,-7.61368,-10.8806,-38.974,-9.30546,
Amedisys Inc,AMED US Equity,AMED US,North Tide Capital LLC,1: Sale of Company,50.44904,8.55E+08,12,Start: 2014-12-02. UTC: 2014-12-02T14:04:30.000Z,2014,12,2,Occasional Activist,1.03E+08,1.952362,63.8032,47.56798,43.10083,55.37997,60.37367,53.10695,Letter to Company
OMNOVA Solutions Inc,OMN US Equity,OMN US,Barington Capital Group LP,6: Break Up; Board Representation; Compensation Changes; Return Capital/Buybacks; Strategic Review; Cost Cutting,50.66865,3.19E+08,2,Start: 2014-12-03. UTC: 2014-12-03T12:55:00.001Z,2014,12,3,Core Activist,6383060,7.578009,6.092125,40.05525,7.996056,11.26968,4.797018,,Letter to Company; Formal Notice for Proxy Fight
TheStreet Inc,TST US Equity,TST US,Cannell Capital LLC,8: Sale of Company; Strategic Review; Compensation Changes; Remove Director/Withhold Votes; Board Control; Remove Director/Withhold Votes; Board Representation; Remove Director/Withhold Votes,-4.36987,77522100,8.95,Start: 2014-12-03. UTC: 2014-12-03T18:49:30.000Z,2014,12,3,Core Activist,6938228,7.111111,-21.9109,-10.7188,-0.95032,-57.8666,-23.206,-63.6,Letter to Company
Hardinge Inc,HDNG US Equity,HDNG US,Privet Fund Management LLC,2: Strategic Review; Board Representation,51.57215,1.60E+08,7,Start: 2014-12-03. UTC: 2014-12-03T21:26:44.000Z,2014,12,3,Former Core,11165399,-0.96463,-18.9959,53.0485,12.71772,10.64217,-21.9563,11.95754,Letter to Company
Furmanite Corp,FRM US Equity,FRM US,Mustang Capital Management LLC,1: Board Control,-17.2107,2.54E+08,4.3,Start: 2014-12-04. UTC: 2014-12-04T14:31:45.986Z,2014,12,4,Occasional Activist,10918973,5.341246,15.43027,-21.4085,-14.1456,-12.8253,12.46982,-17.1323,Formal Notice for Proxy Fight
Jamba Inc,JMBA US Equity,JMBA US,JCP Investment Management LLC,1: Board Representation,2.279874,2.21E+08,2.3,Start: 2014-12-04. UTC: 2014-12-04T21:32:58.000Z,2014,12,4,Core Activist,5091499,2.987421,7.468554,-0.68702,0.599327,-48.3546,4.390502,-51.0702,Formal Notice for Proxy Fight
Campus Crest Communities Inc,1448479D US Equity,CCG US,Clinton Group Inc/New York and Campus Evolution Villages LLC,3: Board Control; Sale of Company; Strategic Review,-5.50964,4.86E+08,1.6,Start: 2014-12-04. UTC: 2014-12-04T21:45:32.043Z,2014,12,4,Former Core,7768464,1.733333,-9.55923,-7.11957,-4.46363,-3.93907,-12.6373,-5.38479,Letter to Company; Formal Notice for Proxy Fight
Eagle Capital Growth Fund Inc,GRF US Equity,GRF US,Ancora Advisors LLC,1: Realize NAV,6.419525,25968750,5.11,Start: 2014-12-05. UTC: 2014-12-05T16:18:19.000Z,2014,12,5,Core Activist,1327003,-0.12034,-0.90785,6.547741,6.419525,6.714147,-3.9859,7.008703,
Noble Romans Inc,NROM US Equity,NROM US,Lucus Advisors LLC,1: Return Capital/Buybacks,-75.4854,41262000,5.3,Start: 2014-12-08. UTC: 2014-12-08T18:43:14.000Z,2014,12,8,Secondary Focus,2186886,-5.33981,-36.4078,-74.1026,-54.3716,-84.4673,-37.9476,-83.8649,
